Shift_ID,Org_ID,Employee_ID,Shift_Type,Shift_Start_Date,Shift_End_Date,Shift_Start_Time,Shift_End_Time
70,1,7,Week Off,2026-04-03,2026-04-04,,
71,1,8,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
72,1,8,Week Off,2026-03-06,2026-03-07,,
73,1,8,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
74,1,8,Week Off,2026-03-13,2026-03-14,,
75,1,8,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
76,1,8,Week Off,2026-03-20,2026-03-21,,
77,1,8,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
78,1,8,Week Off,2026-03-27,2026-03-28,,
79,1,8,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
80,1,8,Week Off,2026-04-03,2026-04-04,,
81,1,9,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
82,1,9,Week Off,2026-03-06,2026-03-07,,
83,1,9,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
84,1,9,Week Off,2026-03-13,2026-03-14,,
85,1,9,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
86,1,9,Week Off,2026-03-20,2026-03-21,,
87,1,9,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
88,1,9,Week Off,2026-03-27,2026-03-28,,
89,1,9,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
90,1,9,Week Off,2026-04-03,2026-04-04,,
91,1,10,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
92,1,10,Week Off,2026-03-06,2026-03-07,,
93,1,10,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
94,1,10,Week Off,2026-03-13,2026-03-14,,
95,1,10,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
96,1,10,Week Off,2026-03-20,2026-03-21,,
97,1,10,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
98,1,10,Week Off,2026-03-27,2026-03-28,,
99,1,10,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
100,1,10,Week Off,2026-04-03,2026-04-04,,
101,1,11,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
102,1,11,Week Off,2026-03-06,2026-03-07,,
103,1,11,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
104,1,11,Week Off,2026-03-13,2026-03-14,,
105,1,11,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
106,1,11,Week Off,2026-03-20,2026-03-21,,
107,1,11,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
108,1,11,Week Off,2026-03-27,2026-03-28,,
109,1,11,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
110,1,11,Week Off,2026-04-03,2026-04-04,,
111,1,12,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
112,1,12,Week Off,2026-03-06,2026-03-07,,
113,1,12,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
114,1,12,Week Off,2026-03-13,2026-03-14,,
115,1,12,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
116,1,12,Week Off,2026-03-20,2026-03-21,,
117,1,12,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
118,1,12,Week Off,2026-03-27,2026-03-28,,
119,1,12,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
120,1,12,Week Off,2026-04-03,2026-04-04,,
121,1,13,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
122,1,13,Week Off,2026-03-06,2026-03-07,,
123,1,13,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
124,1,13,Week Off,2026-03-13,2026-03-14,,
125,1,13,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
126,1,13,Week Off,2026-03-20,2026-03-21,,
127,1,13,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
128,1,13,Week Off,2026-03-27,2026-03-28,,
129,1,13,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
130,1,13,Week Off,2026-04-03,2026-04-04,,
131,1,14,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
132,1,14,Week Off,2026-03-06,2026-03-07,,
133,1,14,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
134,1,14,Week Off,2026-03-13,2026-03-14,,
135,1,14,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
136,1,14,Week Off,2026-03-20,2026-03-21,,
137,1,14,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
138,1,14,Week Off,2026-03-27,2026-03-28,,
139,1,14,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
140,1,14,Week Off,2026-04-03,2026-04-04,,
141,1,15,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
142,1,15,Week Off,2026-03-06,2026-03-07,,
143,1,15,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
144,1,15,Week Off,2026-03-13,2026-03-14,,
145,1,15,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
146,1,15,Week Off,2026-03-20,2026-03-21,,
147,1,15,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
148,1,15,Week Off,2026-03-27,2026-03-28,,
149,1,15,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
150,1,15,Week Off,2026-04-03,2026-04-04,,
151,1,16,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
152,1,16,Week Off,2026-03-06,2026-03-07,,
153,1,16,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
154,1,16,Week Off,2026-03-13,2026-03-14,,
155,1,16,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
156,1,16,Week Off,2026-03-20,2026-03-21,,
157,1,16,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
158,1,16,Week Off,2026-03-27,2026-03-28,,
159,1,16,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
160,1,16,Week Off,2026-04-03,2026-04-04,,
161,1,17,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
162,1,17,Week Off,2026-03-06,2026-03-07,,
163,1,17,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
164,1,17,Week Off,2026-03-13,2026-03-14,,
165,1,17,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
166,1,17,Week Off,2026-03-20,2026-03-21,,
167,1,17,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
168,1,17,Week Off,2026-03-27,2026-03-28,,
169,1,17,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
170,1,17,Week Off,2026-04-03,2026-04-04,,
171,1,18,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
172,1,18,Week Off,2026-03-06,2026-03-07,,
173,1,18,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
174,1,18,Week Off,2026-03-13,2026-03-14,,
175,1,18,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
176,1,18,Week Off,2026-03-20,2026-03-21,,
177,1,18,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
178,1,18,Week Off,2026-03-27,2026-03-28,,
179,1,18,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
180,1,18,Week Off,2026-04-03,2026-04-04,,
181,1,19,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
182,1,19,Week Off,2026-03-06,2026-03-07,,
183,1,19,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
184,1,19,Week Off,2026-03-13,2026-03-14,,
185,1,19,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
186,1,19,Week Off,2026-03-20,2026-03-21,,
187,1,19,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
188,1,19,Week Off,2026-03-27,2026-03-28,,
189,1,19,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
190,1,19,Week Off,2026-04-03,2026-04-04,,
191,1,20,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
192,1,20,Week Off,2026-03-06,2026-03-07,,
193,1,20,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
194,1,20,Week Off,2026-03-13,2026-03-14,,
195,1,20,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
196,1,20,Week Off,2026-03-20,2026-03-21,,
197,1,20,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
198,1,20,Week Off,2026-03-27,2026-03-28,,
199,1,20,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
200,1,20,Week Off,2026-04-03,2026-04-04,,
201,1,21,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
202,1,21,Week Off,2026-03-06,2026-03-07,,
203,1,21,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
204,1,21,Week Off,2026-03-13,2026-03-14,,
205,1,21,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
206,1,21,Week Off,2026-03-20,2026-03-21,,
207,1,21,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
208,1,21,Week Off,2026-03-27,2026-03-28,,
209,1,21,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
210,1,21,Week Off,2026-04-03,2026-04-04,,
211,1,22,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
212,1,22,Week Off,2026-03-06,2026-03-07,,
213,1,22,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
214,1,22,Week Off,2026-03-13,2026-03-14,,
215,1,22,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
216,1,22,Week Off,2026-03-20,2026-03-21,,
217,1,22,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
218,1,22,Week Off,2026-03-27,2026-03-28,,
219,1,22,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
220,1,22,Week Off,2026-04-03,2026-04-04,,
221,1,23,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
222,1,23,Week Off,2026-03-06,2026-03-07,,
223,1,23,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
224,1,23,Week Off,2026-03-13,2026-03-14,,
225,1,23,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
226,1,23,Week Off,2026-03-20,2026-03-21,,
227,1,23,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
228,1,23,Week Off,2026-03-27,2026-03-28,,
229,1,23,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
230,1,23,Week Off,2026-04-03,2026-04-04,,
231,1,24,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
232,1,24,Week Off,2026-03-06,2026-03-07,,
233,1,24,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
234,1,24,Week Off,2026-03-13,2026-03-14,,
235,1,24,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
236,1,24,Week Off,2026-03-20,2026-03-21,,
237,1,24,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
238,1,24,Week Off,2026-03-27,2026-03-28,,
239,1,24,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
240,1,24,Week Off,2026-04-03,2026-04-04,,
241,1,25,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
242,1,25,Week Off,2026-03-06,2026-03-07,,
243,1,25,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
244,1,25,Week Off,2026-03-13,2026-03-14,,
245,1,25,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
246,1,25,Week Off,2026-03-20,2026-03-21,,
247,1,25,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
248,1,25,Week Off,2026-03-27,2026-03-28,,
249,1,25,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
250,1,25,Week Off,2026-04-03,2026-04-04,,
251,1,26,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
252,1,26,Week Off,2026-03-06,2026-03-07,,
253,1,26,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
254,1,26,Week Off,2026-03-13,2026-03-14,,
255,1,26,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
256,1,26,Week Off,2026-03-20,2026-03-21,,
257,1,26,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
258,1,26,Week Off,2026-03-27,2026-03-28,,
259,1,26,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
260,1,26,Week Off,2026-04-03,2026-04-04,,
261,1,27,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
262,1,27,Week Off,2026-03-06,2026-03-07,,
263,1,27,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
264,1,27,Week Off,2026-03-13,2026-03-14,,
265,1,27,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
266,1,27,Week Off,2026-03-20,2026-03-21,,
267,1,27,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
268,1,27,Week Off,2026-03-27,2026-03-28,,
269,1,27,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
270,1,27,Week Off,2026-04-03,2026-04-04,,
271,1,28,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
272,1,28,Week Off,2026-03-06,2026-03-07,,
273,1,28,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
274,1,28,Week Off,2026-03-13,2026-03-14,,
275,1,28,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
276,1,28,Week Off,2026-03-20,2026-03-21,,
277,1,28,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
278,1,28,Week Off,2026-03-27,2026-03-28,,
279,1,28,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
280,1,28,Week Off,2026-04-03,2026-04-04,,
281,1,29,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
282,1,29,Week Off,2026-03-06,2026-03-07,,
283,1,29,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
284,1,29,Week Off,2026-03-13,2026-03-14,,
285,1,29,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
286,1,29,Week Off,2026-03-20,2026-03-21,,
287,1,29,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
288,1,29,Week Off,2026-03-27,2026-03-28,,
289,1,29,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
290,1,29,Week Off,2026-04-03,2026-04-04,,
291,1,30,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
292,1,30,Week Off,2026-03-06,2026-03-07,,
293,1,30,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
294,1,30,Week Off,2026-03-13,2026-03-14,,
295,1,30,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
296,1,30,Week Off,2026-03-20,2026-03-21,,
297,1,30,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
298,1,30,Week Off,2026-03-27,2026-03-28,,
299,1,30,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
300,1,30,Week Off,2026-04-03,2026-04-04,,
301,1,31,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
302,1,31,Week Off,2026-03-06,2026-03-07,,
303,1,31,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
304,1,31,Week Off,2026-03-13,2026-03-14,,
305,1,31,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
306,1,31,Week Off,2026-03-20,2026-03-21,,
307,1,31,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
308,1,31,Week Off,2026-03-27,2026-03-28,,
309,1,31,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
310,1,31,Week Off,2026-04-03,2026-04-04,,
311,1,32,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
312,1,32,Week Off,2026-03-06,2026-03-07,,
313,1,32,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
314,1,32,Week Off,2026-03-13,2026-03-14,,
315,1,32,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
316,1,32,Week Off,2026-03-20,2026-03-21,,
317,1,32,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
318,1,32,Week Off,2026-03-27,2026-03-28,,
319,1,32,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
320,1,32,Week Off,2026-04-03,2026-04-04,,
321,1,33,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
322,1,33,Week Off,2026-03-06,2026-03-07,,
323,1,33,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
324,1,33,Week Off,2026-03-13,2026-03-14,,
325,1,33,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
326,1,33,Week Off,2026-03-20,2026-03-21,,
327,1,33,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
328,1,33,Week Off,2026-03-27,2026-03-28,,
329,1,33,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
330,1,33,Week Off,2026-04-03,2026-04-04,,
331,1,34,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
332,1,34,Week Off,2026-03-06,2026-03-07,,
333,1,34,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
334,1,34,Week Off,2026-03-13,2026-03-14,,
335,1,34,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
336,1,34,Week Off,2026-03-20,2026-03-21,,
337,1,34,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
338,1,34,Week Off,2026-03-27,2026-03-28,,
339,1,34,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
340,1,34,Week Off,2026-04-03,2026-04-04,,
341,1,35,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
342,1,35,Week Off,2026-03-06,2026-03-07,,
343,1,35,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
344,1,35,Week Off,2026-03-13,2026-03-14,,
345,1,35,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
346,1,35,Week Off,2026-03-20,2026-03-21,,
347,1,35,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
348,1,35,Week Off,2026-03-27,2026-03-28,,
349,1,35,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
350,1,35,Week Off,2026-04-03,2026-04-04,,
351,1,36,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
352,1,36,Week Off,2026-03-06,2026-03-07,,
353,1,36,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
354,1,36,Week Off,2026-03-13,2026-03-14,,
355,1,36,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
356,1,36,Week Off,2026-03-20,2026-03-21,,
357,1,36,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
358,1,36,Week Off,2026-03-27,2026-03-28,,
359,1,36,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
360,1,36,Week Off,2026-04-03,2026-04-04,,
361,1,37,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
362,1,37,Week Off,2026-03-06,2026-03-07,,
363,1,37,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
364,1,37,Week Off,2026-03-13,2026-03-14,,
365,1,37,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
366,1,37,Week Off,2026-03-20,2026-03-21,,
367,1,37,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
368,1,37,Week Off,2026-03-27,2026-03-28,,
369,1,37,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
370,1,37,Week Off,2026-04-03,2026-04-04,,
371,1,38,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
372,1,38,Week Off,2026-03-06,2026-03-07,,
373,1,38,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
374,1,38,Week Off,2026-03-13,2026-03-14,,
375,1,38,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
376,1,38,Week Off,2026-03-20,2026-03-21,,
377,1,38,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
378,1,38,Week Off,2026-03-27,2026-03-28,,
379,1,38,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
380,1,38,Week Off,2026-04-03,2026-04-04,,
381,1,39,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
382,1,39,Week Off,2026-03-06,2026-03-07,,
383,1,39,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
384,1,39,Week Off,2026-03-13,2026-03-14,,
385,1,39,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
386,1,39,Week Off,2026-03-20,2026-03-21,,
387,1,39,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
388,1,39,Week Off,2026-03-27,2026-03-28,,
389,1,39,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
390,1,39,Week Off,2026-04-03,2026-04-04,,
391,1,40,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
392,1,40,Week Off,2026-03-06,2026-03-07,,
393,1,40,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
394,1,40,Week Off,2026-03-13,2026-03-14,,
395,1,40,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
396,1,40,Week Off,2026-03-20,2026-03-21,,
397,1,40,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
398,1,40,Week Off,2026-03-27,2026-03-28,,
399,1,40,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
400,1,40,Week Off,2026-04-03,2026-04-04,,
401,1,41,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
402,1,41,Week Off,2026-03-06,2026-03-07,,
403,1,41,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
404,1,41,Week Off,2026-03-13,2026-03-14,,
405,1,41,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
406,1,41,Week Off,2026-03-20,2026-03-21,,
407,1,41,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
408,1,41,Week Off,2026-03-27,2026-03-28,,
409,1,41,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
410,1,41,Week Off,2026-04-03,2026-04-04,,
411,1,42,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
412,1,42,Week Off,2026-03-06,2026-03-07,,
413,1,42,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
414,1,42,Week Off,2026-03-13,2026-03-14,,
415,1,42,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
416,1,42,Week Off,2026-03-20,2026-03-21,,
417,1,42,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
418,1,42,Week Off,2026-03-27,2026-03-28,,
419,1,42,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
420,1,42,Week Off,2026-04-03,2026-04-04,,
421,1,43,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
422,1,43,Week Off,2026-03-06,2026-03-07,,
423,1,43,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
424,1,43,Week Off,2026-03-13,2026-03-14,,
425,1,43,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
426,1,43,Week Off,2026-03-20,2026-03-21,,
427,1,43,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
428,1,43,Week Off,2026-03-27,2026-03-28,,
429,1,43,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
430,1,43,Week Off,2026-04-03,2026-04-04,,
431,1,44,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
432,1,44,Week Off,2026-03-06,2026-03-07,,
433,1,44,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
434,1,44,Week Off,2026-03-13,2026-03-14,,
435,1,44,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
436,1,44,Week Off,2026-03-20,2026-03-21,,
437,1,44,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
438,1,44,Week Off,2026-03-27,2026-03-28,,
439,1,44,Regular Shift,2026-03-29,2026-04-02,09:00,18:00
440,1,44,Week Off,2026-04-03,2026-04-04,,
441,1,45,Regular Shift,2026-03-01,2026-03-05,09:00,18:00
442,1,45,Week Off,2026-03-06,2026-03-07,,
443,1,45,Regular Shift,2026-03-08,2026-03-12,09:00,18:00
444,1,45,Week Off,2026-03-13,2026-03-14,,
445,1,45,Regular Shift,2026-03-15,2026-03-19,09:00,18:00
446,1,45,Week Off,2026-03-20,2026-03-21,,
447,1,45,Regular Shift,2026-03-22,2026-03-26,09:00,18:00
